id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
47073798,2020-05-24 12:40:00 AM EDT,2020-05-24,2020-05-24 04:40:00 UTC,Eastern Time (US & Canada),1597139,mjmwx,2020-05-24 04:56:02 UTC,2020-05-24 13:42:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47073798,,https://static.inaturalist.org/sounds/94953.m4a?1590296165,"",,2,0,false,2,"Washington, DC 20002, USA",38.891370768,-76.9902036712,229,,open,false,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47084305,2020-05-24 4:23:27 AM EDT,2020-05-24,2020-05-24 08:23:27 UTC,Eastern Time (US & Canada),1014628,slamonde,2020-05-24 08:27:24 UTC,2020-05-24 23:44:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47084305,,https://static.inaturalist.org/sounds/95014.wav?1590308871,"",,1,0,false,2,"Cheshire County, US-NH, US",43.0827816,-72.1314655,24,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47147131,2020-04-05 6:27:00 PM CDT,2020-04-05,2020-04-05 18:27:00 UTC,UTC,1742527,klichbait86,2020-05-24 17:46:02 UTC,2020-05-24 21:25:55 UTC,research,,https://www.inaturalist.org/observations/47147131,,https://static.inaturalist.org/sounds/95339.m4a?1590342368,"",American Robin,1,0,false,2,"Minnesota, US",45.2586921855,-93.2445820384,17,obscured,open,true,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47150055,2020-05-24 2:03:00 PM EDT,2020-05-24,2020-05-24 18:03:00 UTC,Eastern Time (US & Canada),2691960,jknow08,2020-05-24 18:03:55 UTC,2020-05-28 16:02:35 UTC,research,,https://www.inaturalist.org/observations/47150055,,https://static.inaturalist.org/sounds/95353.wav?1590343439,"",,1,0,false,2,"Kilarney Woods, Cary, NC 27511, USA",35.7571411122,-78.8248041272,9,,open,false,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47185737,2020-05-24 5:41:53 PM EDT,2020-05-24,2020-05-24 21:41:53 UTC,Eastern Time (US & Canada),1813081,ga_naturewatcher,2020-05-24 21:48:41 UTC,2020-05-30 12:35:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47185737,,https://static.inaturalist.org/sounds/95496.m4a?1590356925,"",,1,0,false,2,"Tucker, GA 30084, USA",33.856354869,-84.2404317849,8,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47204196,2020-05-24 8:05:57 PM EDT,2020-05-24,2020-05-25 00:05:57 UTC,Eastern Time (US & Canada),1228437,lsw,2020-05-25 00:08:26 UTC,2020-05-27 12:00:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47204196,,https://static.inaturalist.org/sounds/95581.wav?1590365311,"",,2,0,false,2,"Pimmit Dr + Paxton Rd, Pimmit Hills, VA 22043, USA",38.9059988,-77.1984679,55,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47249776,2020-05-25 6:55:50 AM EDT,2020-05-25,2020-05-25 10:55:50 UTC,Eastern Time (US & Canada),1787786,clara-c,2020-05-25 10:57:08 UTC,2020-05-27 09:57:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47249776,,https://static.inaturalist.org/sounds/95797.wav?1590404328,"",,2,0,false,2,"Virginia, US",37.6504719407,-78.2628016878,8,obscured,open,true,,,American Robin,Turdus migratorius,American Robin,Aves,12727
47279654,2020-05-25 11:55:00 AM EDT,2020-05-25,2020-05-25 15:55:00 UTC,Eastern Time (US & Canada),2426886,naom1,2020-05-25 16:05:58 UTC,2020-05-30 19:31:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/47279654,,https://static.inaturalist.org/sounds/95975.wav?1590422767,"",,1,0,false,2,United States,41.667106099,-86.2343910638,1859,obscured,open,true,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47335496,2020-05-25 6:34:00 PM EDT,2020-05-25,2020-05-25 22:34:00 UTC,Eastern Time (US & Canada),1110667,botanylicious,2020-05-25 22:35:22 UTC,2020-05-25 23:36:44 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/47335496,,https://static.inaturalist.org/sounds/96348.wav?1590446127,"",Something very vocal in my backyard (not visible),1,0,false,2,"East Point, GA 30344, USA",33.6706175634,-84.4480073825,9,,open,false,gps,gps,American Robin,Turdus migratorius,American Robin,Aves,12727
47335605,2020-05-25 4:41:12 PM EDT,2020-05-25,2020-05-25 20:41:12 UTC,Eastern Time (US & Canada),1910832,chrisangell,2020-05-25 22:36:15 UTC,2020-06-19 11:09:20 UTC,research,,https://www.inaturalist.org/observations/47335605,,https://static.inaturalist.org/sounds/96349.wav?1590446189,"",,3,0,false,2,"Ottawa, ON K1N 1J5, Canada",45.42852169,-75.68117277,4,,open,false,,,American Robin,Turdus migratorius,American Robin,Aves,12727
