id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
41061824,2020/01/02 2:32 PM EST,2020-01-02,2020-01-02 19:32:00 UTC,Eastern Time (US & Canada),135719,fynkynd,2020-03-30 19:24:03 UTC,2020-04-15 18:17:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41061824,,https://static.inaturalist.org/sounds/65403.wav?1585594145,"",,1,0,false,,"Sierra County, NM, USA",32.865439853,-107.3061163197,122,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41061827,2020/01/07 12:32 PM -0700,2020-01-07,2020-01-07 19:32:00 UTC,Arizona,135719,fynkynd,2020-03-30 19:24:04 UTC,2020-04-15 18:17:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41061827,,https://static.inaturalist.org/sounds/65405.wav?1585594211,"",,2,0,false,,"Sandoval County, NM, USA",35.6643810053,-106.4069647506,347,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41192866,2020/03/26 10:59 PM UTC,2020-03-26,,UTC,2509911,albertros,2020-04-01 22:00:29 UTC,2020-04-02 15:45:44 UTC,research,,https://www.inaturalist.org/observations/41192866,,https://static.inaturalist.org/sounds/65900.mpga?1585778404,"",,1,0,false,,"88085 Langenargen, Germany",47.6136626352,9.5466700661,49,,open,false,,,Raaf,Corvus corax,Common Raven,Aves,8010
41375339,2020/03/11 4:17 PM EDT,2020-03-11,2020-03-11 20:17:00 UTC,Eastern Time (US & Canada),521996,brennafarrell,2020-04-04 17:21:53 UTC,2020-04-11 05:42:27 UTC,research,,https://www.inaturalist.org/observations/41375339,,https://static.inaturalist.org/sounds/66465.mp3?1586020871,"",,1,0,false,,"Huntingdon Valley, Bryn Athyn, PA, USA",40.1509035761,-75.0757096949,93,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41503821,2020/04/05 10:06 PM EDT,2020-04-05,2020-04-06 02:06:00 UTC,Eastern Time (US & Canada),12158,erikamitchell,2020-04-06 02:08:30 UTC,2020-04-06 04:38:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41503821,,https://static.inaturalist.org/sounds/67146.wav?1586138867,"",,1,0,false,,"Calais, VT, USA",44.3405994973,-72.4621516973,184,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41597277,2020-04-07 2:21:16 PM GMT+03:00,2020-04-07,2020-04-07 11:21:16 UTC,Moscow,2514204,tatyanazarubo,2020-04-07 11:28:50 UTC,2020-04-07 17:34:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41597277,https://static.inaturalist.org/photos/65994387/medium.jpeg?1586258938,https://static.inaturalist.org/sounds/67684.m4a?1586259401,"",,1,0,false,2,"Нижегородская обл., Россия, 603051",56.4038918474,43.7581952289,9,,open,false,gps,gps,Ворон,Corvus corax,Common Raven,Aves,8010
41660488,2020/04/05 11:11 AM EDT,2020-04-05,2020-04-05 15:11:00 UTC,Eastern Time (US & Canada),112851,cgbb2004,2020-04-08 02:18:51 UTC,2020-04-08 12:59:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41660488,,https://static.inaturalist.org/sounds/67926.wav?1586311307,"",also Blue Jay,1,0,false,,United States,44.9935448619,-72.6911859913,100,obscured,open,true,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41719628,2020/04/07 9:39 AM PDT,2020-04-07,2020-04-07 16:39:00 UTC,Pacific Time (US & Canada),513187,thomasabenson,2020-04-08 22:19:16 UTC,2020-04-13 20:49:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41719628,https://static.inaturalist.org/photos/66186780/medium.jpg?1586383843,https://static.inaturalist.org/sounds/68314.wav?1586383834,"Redlands, Common Raven, Corvus corax","Corvus corax
7 Apr 2020
CA, SBE Co., Redlands",2,0,false,,"California, US",34.0319352626,-117.0030930518,2,obscured,open,true,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41936382,2020-04-11 4:45:10 PM GMT+02:00,2020-04-11,2020-04-11 14:45:10 UTC,Africa/Johannesburg,2447213,smectit,2020-04-11 20:19:12 UTC,2020-04-11 21:05:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41936382,,https://static.inaturalist.org/sounds/69279.m4a?1586636357,"",,2,0,false,2,"Celle, DE-NI, DE",52.85741129,10.1873916007,8,,open,false,,,Common Raven,Corvus corax,Common Raven,Aves,8010
41972410,2020/04/04 9:45 AM MSK,2020-04-04,2020-04-04 06:45:00 UTC,Moscow,725071,apseregin,2020-04-12 03:45:21 UTC,2020-04-12 06:45:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41972410,,https://static.inaturalist.org/sounds/69421.mp3?1586663075,"",Research project 19-34-70018 funded by RFBR and Moscow city Government,1,0,false,,"Троицкий Адм. округ, Москва, Россия",55.4107904722,37.0486092222,,,open,false,,,Ворон,Corvus corax,Common Raven,Aves,8010
